signature,top_cell_type,top_z,z_Bcell,z_DC,z_Endo,z_Epi,z_Fibro,z_Macro,z_NK,z_Peri,z_Plasma,z_Tcell
Chemokine_Messina,Macro,2.6653708993257816,-0.10289787154233983,-0.5132293174418839,-0.4984369962908611,-0.9230105810087309,0.0507797479651613,2.6653708993257816,0.8131179897012618,-0.37048495561063816,-0.7749223985862354,-0.34628651651151604
EMT_Thompson,Epi,2.0441531170305938,-0.7736561398316625,0.26608217706190707,-0.19828047460713097,2.0441531170305938,0.9233862593154675,0.985840356164784,-0.8064424893059656,-0.15495345086796303,-1.1618004996382096,-1.1243288553218203
EMTstroma_Wang,Fibro,2.7473286720384706,-0.5500034895865874,-0.36166654161151063,0.42439217741630436,-0.8386219625996589,2.7473286720384706,0.02005013140640634,-0.6093273418762263,0.3153053601970461,-0.5187057695472032,-0.6287512358370418
GeparSixto_Karn,NK,2.35621174917448,-0.07795747053119852,-0.6670031543604996,-0.7305439608754916,-0.8276564301861307,-0.45110081733258606,-0.1009480060624696,2.35621174917448,-0.03573687582212581,-0.8327815006317364,1.3675164666277582
IFN_Ayers,Macro,2.490762106752575,1.1811976873608805,-0.3690859659320803,-0.22220453346053737,-0.7021080545381675,-0.40017962629092757,2.490762106752575,0.12202309674875589,-0.7241035514738969,-0.8829059083957778,-0.4933952507708234
IMPRES_Auslander,Tcell,1.7475264241093684,0.09470353669558657,-0.8379491025714323,0.7069846201224373,-1.4690503691028265,-0.7500635706445844,0.9819303479255175,0.9551232344334339,-0.47301321878525876,-0.9561919021822419,1.7475264241093684
IMS_Cui,Fibro,2.236499001473267,-0.34037627527451886,-0.26625476187597563,-0.08176146890457235,-0.8490253259471273,2.236499001473267,1.273195482107641,-0.817844313944935,0.561711197162431,-0.9119501254083023,-0.8041934093879074
IRG_Ayers,NK,2.2640029680595535,0.3371775880598188,-0.6681332953085022,-0.6189315777101057,-0.949390045239173,-0.6591352400752261,0.1417443873040843,2.2640029680595535,-0.5132112675525179,-0.6893507651207714,1.3552272475828395
IRG_Yang,Endo,2.1783998215823006,-0.36312793999954585,-0.3967667966003917,2.1783998215823006,-0.32473968479112936,0.6979066952742776,1.0264126977543722,-1.0508308725325584,0.29512111139644964,-1.055665305733749,-1.0067097263500255
ImmuneCells_Xiong,Macro,1.8871555316576105,-0.8970729500023628,-0.5987942074364205,1.0779521863082526,0.8016038285759025,0.7255471051014063,1.8871555316576105,-0.5469313494512987,-0.2922738435404453,-1.4199851256737996,-0.7372011755388445
ImmuneScore_Roh,Macro,2.1149729221285387,0.9478642966235006,-0.4292074206093899,-0.011645069937362487,-1.239766567327211,-0.8111522143330923,2.1149729221285387,1.0663991929592465,-0.8261645463289641,-0.6295248579074822,-0.1817757352677836
ImmunoScore_Hao,NK,1.9656106498485486,0.3421016267573824,-0.2646842958483243,-0.7283748996356827,-1.2727074995938588,-0.7766165869192728,0.7447699764233103,1.9656106498485486,-0.47856149001713283,-0.838709475850465,1.3071719948354952
Inflammatory_Thompson,NK,2.304471873962409,0.42550970952221023,-0.5900195376944183,-0.6196867403330326,-0.9881651795854732,-0.7411033871870722,0.41147398757794273,2.304471873962409,-0.5116582485259499,-0.786583660864797,1.0957611831281813
KDM5A_Wang,NK,2.338824837621224,0.19114815986975184,-0.36362584055325126,-0.09064605770641596,-1.0442063138761948,-0.652519461282133,-0.9109264590948325,2.338824837621224,-0.1286381714318886,-0.6110468669986026,1.2716361734523423
M1_Hwang,Tcell,1.5752074293155252,0.8482477259787785,-0.5112394006770248,-0.5248791864876743,-1.8617061578714524,-0.9607197773197285,0.8889087239419041,0.9874723777959863,-0.29403322114862424,-0.14725851352768957,1.5752074293155252
MHC-II_Liu,Macro,2.374317507004095,1.383084259088704,0.05726436967563025,-0.09040278551596827,-0.638952564288774,-0.737151096656065,2.374317507004095,-0.325024878083787,-0.7787038260576188,-0.6106997155620391,-0.6337312696041769
MHC-I_Liu,NK,1.6129441715770187,0.2932102542871726,-1.0666527396910517,0.6452496800807118,-1.916054808175051,-0.4435608147976348,0.22278100625041092,1.6129441715770187,-0.037657979731812126,-0.5499506935711472,1.2396919237713828
