signature,top_cell_type,top_z,n_genes,z_Bcell,z_DC,z_Endo,z_Epi,z_Fibro,z_Macro,z_NK,z_Peri,z_Plasma,z_Tcell
EMTstroma_Wang,Fibro,2.130218505859375,18,-0.710243821144104,-0.4560694992542267,-0.03054221160709858,-0.5025554299354553,2.130218505859375,-0.2322574108839035,-0.5801318883895874,1.7686922550201416,-0.7813654541969299,-0.6057454943656921
GeparSixto_Karn,Tcell,2.06567120552063,10,-0.8315237164497375,1.3378556966781616,-0.3524107038974762,-0.7156499028205872,-0.668497622013092,-0.0021771236788481474,0.8413662314414978,-0.666473925113678,-1.0081599950790405,2.06567120552063
IFN_Ayers,DC,1.9939625263214111,6,-0.07478509098291397,1.9939625263214111,0.12520121037960052,-0.5284587144851685,-0.6103099584579468,1.6657443046569824,-0.08659758418798447,-0.812732458114624,-1.3412489891052246,-0.3307751417160034
IMPRES_Auslander,DC,1.8106147050857544,26,-0.5771080851554871,1.8106147050857544,0.41784197092056274,-0.9092538952827454,-0.7109373807907104,0.4653221666812897,0.3275136947631836,-0.8828755617141724,-1.3447606563568115,1.403643012046814
IMS_Cui,Peri,2.004703998565674,18,-0.8029173612594604,-0.19621318578720093,-0.2603951692581177,-0.6034408807754517,1.6777286529541016,0.5006923079490662,-0.7372357845306396,2.004703998565674,-0.8374701142311096,-0.7454528212547302
IRG_Ayers,NK,1.7928348779678345,17,-0.1889091432094574,0.5499423742294312,-0.23674564063549042,-0.8847455978393555,-0.8094552159309387,0.07381639629602432,1.7928348779678345,-0.9528234004974365,-1.054895043373108,1.7109802961349487
IRG_Yang,Fibro,1.829648733139038,11,-0.9278966784477234,0.1271948367357254,1.1556025743484497,-0.1381412297487259,1.829648733139038,0.2505479156970978,-1.0932961702346802,0.9347814917564392,-1.1035767793655396,-1.0348650217056274
ImmuneCells_Xiong,Fibro,2.019780158996582,101,-1.0697894096374512,-0.2949097752571106,0.5165789723396301,0.2992000877857208,2.019780158996582,0.26415592432022095,-0.6244038939476013,1.0900959968566895,-1.4630982875823975,-0.7376096248626709
ImmuneScore_Roh,DC,1.443378210067749,40,0.08148301392793655,1.443378210067749,0.29578492045402527,-0.9972372055053711,-0.8486768007278442,1.0771867036819458,1.322608470916748,-1.0372270345687866,-1.4522782564163208,0.11497778445482254
ImmunoScore_Hao,Tcell,1.44558584690094,75,-0.3356799781322479,0.9349014163017273,-0.2733575999736786,-0.7556286454200745,-0.7963171005249023,0.8451756238937378,1.368432879447937,-0.9965664744377136,-1.4365460872650146,1.44558584690094
Inflammatory_Thompson,NK,1.9307777881622314,27,-0.20468352735042572,0.6544004082679749,-0.28629207611083984,-0.9137399196624756,-0.8202834725379944,0.29253295063972473,1.9307777881622314,-1.0020333528518677,-1.0625852346420288,1.411906361579895
KDM5A_Wang,Peri,2.4538586139678955,8,-0.5904996395111084,-0.5221081376075745,0.04233638942241669,-0.3984980285167694,1.3106515407562256,-0.6285737752914429,-0.3900827467441559,2.4538586139678955,-0.8795300722122192,-0.39755386114120483
M1_Hwang,DC,1.6137090921401978,12,0.30073562264442444,1.6137090921401978,0.2242991030216217,-1.0204588174819946,-0.5683741569519043,0.7335549592971802,0.3647718131542206,-1.2034887075424194,-1.577431321144104,1.1326825618743896
MHC-II_Liu,DC,2.203876495361328,13,0.6801457405090332,2.203876495361328,-0.12949031591415405,-0.556377649307251,-0.7916982769966125,1.3274730443954468,-0.6017836332321167,-0.8707311749458313,-0.7874497771263123,-0.4739643931388855
MHC-I_Liu,NK,1.4741837978363037,8,-0.15525835752487183,0.24805910885334015,1.1735478639602661,-1.5539674758911133,-0.788321852684021,0.1668061763048172,1.4741837978363037,-0.1628982126712799,-1.464491367340088,1.0623403787612915
MPS_Guijarro,Peri,1.4875980615615845,42,-1.0708034038543701,-0.13523104786872864,0.31948912143707275,1.0129539966583252,1.3956407308578491,-0.27431294322013855,-0.5009557604789734,1.4875980615615845,-1.7187515497207642,-0.5156272649765015
